O1, STIM,
4354.36, 2, 
4354.87, 2, 
4352.31, 2, 
4352.82, 2, 
4357.44, 2, 
4358.97, 2, 
4357.44, 2, 
4354.87, 2, 
4353.85, 2, 
4353.85, 2, 
4355.38, 2, 
4360, 2, 
4359.49, 2, 
4356.92, 2, 
4357.95, 2, 
4355.9, 2, 
4353.33, 2, 
4353.85, 2, 
4356.92, 2, 
4356.41, 2, 
4355.38, 2, 
4356.41, 2, 
4358.46, 2, 
4360, 2, 
4358.97, 2, 
4355.9, 2, 
4355.38, 2, 
4357.95, 2, 
4358.97, 2, 
4356.92, 2, 
4355.38, 2, 
4354.87, 2, 
4354.36, 2, 
4355.38, 2, 
4359.49, 2, 
4358.46, 2, 
4355.38, 2, 
4355.38, 2, 
4357.44, 2, 
4358.97, 2, 
4356.92, 2, 
4355.38, 2, 
4356.92, 2, 
4358.46, 2, 
4360, 2, 
4357.44, 2, 
4355.38, 2, 
4358.46, 2, 
4359.49, 2, 
4355.38, 2, 
4355.38, 2, 
4360, 2, 
4358.97, 2, 
4355.38, 2, 
4356.92, 2, 
4358.97, 2, 
4358.97, 2, 
4358.46, 2, 
4357.44, 2, 
4357.44, 2, 
4359.49, 2, 
4360.51, 2, 
4360, 2, 
4356.92, 2, 
4356.92, 2, 
4357.95, 2, 
4357.44, 2, 
4357.95, 2, 
4357.44, 2, 
4356.92, 2, 
4356.92, 2, 
4355.38, 2, 
4354.87, 2, 
4356.92, 2, 
4358.46, 2, 
4357.95, 2, 
4356.41, 2, 
4354.87, 2, 
4354.87, 2, 
4357.95, 2, 
4357.44, 2, 
4353.33, 2, 
4354.36, 2, 
4355.9, 2, 
4355.38, 2, 
4356.92, 2, 
4357.44, 2, 
4355.38, 2, 
4356.92, 2, 
4358.97, 2, 
4358.46, 2, 
4358.46, 2, 
4358.46, 2, 
4357.44, 2, 
4358.46, 2, 
4358.46, 2, 
4355.9, 2, 
