O1, O2, STIM,
4531.79, 4530.77, 1, 
4356.41, 4359.49, 1, 
4530.26, 4531.79, 1, 
4357.44, 4353.33, 1, 
4532.31, 4531.28, 1, 
4353.85, 4355.9, 1, 
4530.26, 4531.79, 1, 
4356.41, 4355.9, 1, 
4531.79, 4530.77, 1, 
4355.38, 4355.9, 1, 
4531.79, 4532.82, 1, 
4354.36, 4354.36, 1, 
4531.79, 4529.74, 1, 
4356.41, 4357.44, 1, 
4529.74, 4530.77, 1, 
4357.95, 4356.92, 1, 
4531.79, 4530.77, 1, 
4354.87, 4355.9, 1, 
4530.26, 4531.79, 1, 
4358.46, 4356.92, 1, 
4532.82, 4531.28, 1, 
4354.36, 4355.38, 1, 
4529.74, 4531.28, 1, 
4354.36, 4353.85, 1, 
4533.33, 4532.31, 1, 
4357.95, 4358.46, 1, 
4530.77, 4531.28, 1, 
4355.38, 4356.92, 1, 
4532.82, 4532.82, 1, 
4356.92, 4357.44, 1, 
4531.28, 4530.26, 1, 
4358.46, 4353.33, 1, 
4531.79, 4531.79, 1, 
4351.28, 4355.38, 1, 
4529.23, 4529.74, 1, 
4355.38, 4353.33, 1, 
4531.79, 4531.28, 1, 
4355.9, 4356.92, 1, 
4530.26, 4531.79, 1, 
4353.85, 4354.36, 1, 
4532.82, 4529.74, 1, 
4355.38, 4355.38, 1, 
4527.18, 4528.72, 1, 
4357.44, 4354.87, 1, 
4531.28, 4530.77, 1, 
4353.33, 4356.92, 1, 
4531.28, 4532.31, 1, 
4357.95, 4355.9, 1, 
4530.26, 4529.74, 1, 
4356.41, 4356.41, 1, 
4530.77, 4531.79, 1, 
4354.87, 4355.38, 1, 
4531.79, 4531.28, 1, 
4355.9, 4354.87, 1, 
4530.26, 4529.74, 1, 
4356.41, 4357.95, 1, 
4529.74, 4530.26, 1, 
4355.38, 4355.9, 1, 
4531.28, 4533.33, 1, 
4357.44, 4356.41, 1, 
4532.82, 4530.77, 1, 
4357.44, 4357.44, 1, 
4531.79, 4533.85, 1, 
4354.87, 4353.33, 1, 
4531.28, 4529.74, 1, 
4356.41, 4358.46, 1, 
4529.74, 4529.74, 1, 
